"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","87","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","97","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","88","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","312","用户web端登录","tests","Fri Sep 26 12:17:13 CST 2025","passed","Fri Sep 26 12:17:13 CST 2025","TestAllCases","test_all_cases","",""
"","125","用户web端登录","tests","Fri Sep 26 12:17:13 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","112","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","107","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:15 CST 2025","TestAllCases","test_all_cases","",""
"","82","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","86","用户web端登录","tests","Fri Sep 26 12:17:15 CST 2025","passed","Fri Sep 26 12:17:15 CST 2025","TestAllCases","test_all_cases","",""
"","84","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
"","104","用户web端登录","tests","Fri Sep 26 12:17:14 CST 2025","passed","Fri Sep 26 12:17:14 CST 2025","TestAllCases","test_all_cases","",""
